sent_nr	word_pos	word	item	ENCOW_log_freq	srp_1k	KLD_1k	srp_3k	KLD_3k	srp_10k	KLD_10k	srp_30k	KLD_30k	srp_100k	KLD_100k	srp_300k	KLD_300k	srp_1M	KLD_1M	srp_3M	KLD_3M	srp_6-47M	KLD_6-47M
1	1	Anne	101	-6.9147	9.2047		9.8174		10.8313		10.8041		11.1464		10.5241		9.9896		9.9688		9.9004	
1	2	lost	102	-9.8234	9.2639	0.95020294	9.1276	0.24062061	8.8189	0.14173174	8.4585	0.11373472	9.2	0.30926371	9.2451	0.62603474	8.3873	1.44121122	8.6471	2.28068447	8.404	2.26946974
1	3	control	103	-10.0214	9.3886	0.72876263	9.4314	0.18210983	8.8161	0.08034801	8.5117	0.07543707	8.2404	0.17601061	7.9493	0.48441124	8.9057	0.61764097	8.6939	1.18912315	8.0047	1.61085176
1	4	and	104	-14.5388	4.2811	0.60715151	4.1427	0.16811085	4.3163	0.06514311	3.5498	0.13533878	3.3345	0.3369031	3.7296	0.74470329	3.2831	0.92524672	3.2012	1.30629301	3.3694	1.66642666
1	5	laughed	105	-7.3106	10.0618	0.54128265	10.3211	0.17035866	10.5922	0.07542038	10.1527	0.26239395	9.832	0.37528992	10.0985	0.50807905	8.9045	0.67726851	8.1977	1.10589075	8.0748	1.27310991
2	1	Billy	201	-6.649	9.3928		10.0437		11.1083		11.0644		11.0422		10.4011		10.0137		10.1932		10.1066	
2	2	wrote	202	-8.9773	9.5117	0.9522419	9.8858	0.24051237	9.9707	0.14127398	9.8252	0.13925028	9.339	0.35285711	8.1844	0.56080151	5.8975	1.29373884	5.6463	1.90904665	6.1089	1.95653439
2	3	on	203	-13.4378	5.5643	0.73152924	5.1612	0.1832757	5.0521	0.08029175	4.637	0.10002041	4.2497	0.21152401	4.0513	0.72092962	4.4007	2.4492898	4.3021	2.69490075	4.7647	2.91737795
2	4	the	204	-15.3366	3.387	0.60712767	3.1685	0.16789436	3.3993	0.06112099	1.2941	0.45708275	1.4559	0.69243288	1.475	0.78799534	1.4668	0.98416996	1.4327	1.34389639	1.4999	1.4578414
2	5	envelope	205	-6.5539	9.399	0.54178524	10.0838	0.17798328	10.0017	0.35859394	10.188	1.00321102	10.5448	1.26565218	10.4799	1.47322321	9.1806	1.80312157	9.1724	1.98000288	9.0917	2.04531813
3	1	He	301	-12.8213	7.3485		5.6252		4.2557		3.6453		4.0414		3.9222		3.8199		3.7864		3.956	
3	2	called	302	-9.81	9.3106	0.94812107	8.9198	0.24023342	8.6339	0.14569187	8.3706	0.49844074	7.2299	1.73223114	6.4315	2.20994091	6.1509	2.35064507	6.2783	2.41007328	6.0792	2.41364765
3	3	over	303	-11.5252	8.4471	0.72702026	6.9742	0.18224239	7.059	0.0813117	6.8323	0.08983135	6.321	0.33386898	6.1586	1.16766644	6.6961	1.16831017	6.8114	1.20719004	6.6946	1.27721357
3	4	his	304	-11.9165	7.9929	0.60370207	6.7532	0.16681862	6.6605	0.06290293	6.181	0.1004796	4.9529	0.60502148	3.0953	0.83844471	2.9445	1.06603432	3.0984	1.04993057	3.2052	0.98587894
3	5	shoulder	305	-7.537999999999999	9.8095	0.53843546	10.4003	0.16959286	10.788	0.06945848	10.2731	0.40994549	9.3888	1.09761524	8.6274	1.57751083	6.0076	2.2753768	4.5996	2.67301512	3.9222	2.96861362
4	1	He	401	-12.8213	7.3485		5.6252		4.2557		3.6453		4.0414		3.9222		3.8199		3.7864		3.956	
4	2	stayed	402	-8.95	9.2346	0.94812107	9.9291	0.24023342	9.6884	0.14569187	9.0888	0.49844074	7.7109	1.73223114	7.0631	2.20994091	6.9811	2.35064507	7.1028	2.41007328	7.273	2.41364765
4	3	against	403	-10.1575	9.2059	0.72678185	9.1718	0.1816535	8.7445	0.0801239	8.4637	0.10587025	7.7717	0.29440403	6.9974	1.29505444	6.8972	1.8976965	7.9164	2.12390471	8.1981	2.10402274
4	4	the	404	-15.3366	3.3788	0.60227776	3.1729	0.16664171	3.466	0.06258917	3.0457	0.05445242	1.503	0.70273161	1.5363	1.12382936	1.1703	1.53695011	1.397	1.76521873	1.4418	1.96282005
4	5	wall	405	-8.9345	9.9225	0.53974295	10.1587	0.17754984	9.3683	0.36157227	8.5564	0.97644711	7.962	1.26645756	7.169	1.40818739	6.2879	1.81180859	5.6948	2.21387529	5.672	2.29022217
5	1	Helen	501	-6.8721	9.3219		9.9986		10.9582		11.0235		10.8141		10.1367		9.9402		9.8068		9.7263	
5	2	ran	502	-8.4405	9.5651	0.94976521	10.2597	0.24013424	10.3911	0.14393091	10.1811	0.11889601	9.9506	0.28816128	8.6828	0.59127283	7.6652	1.32019472	7.5975	2.038908	7.5385	2.12165833
5	3	to	503	-14.855	4.1164	0.7299633	3.6063	0.18278837	3.7648	0.0798521	3.0618	0.10213089	3.2406	0.20959044	2.3506	0.78275108	3.1135	1.42589855	3.2092	1.36333132	3.5133	1.6303544
5	4	the	504	-15.3366	3.3797	0.60423756	3.178	0.16879559	3.5428	0.07826567	2.5374	0.54095364	2.3841	1.02632713	1.724	0.94663572	1.4937	1.09551287	1.5606	1.49107122	1.6178	1.61905336
5	5	toilet	505	-8.0646	10.3094	0.54019547	10.6858	0.17828798	9.7529	0.40565586	9.3395	0.99522972	8.9236	1.24771643	8.1592	1.45991755	7.4286	1.84428358	7.1446	2.34635067	6.9317	2.54637623
6	1	I	601	-14.2931	5.761		2.9695		2.2966		2.2103		2.1453		2.3647		2.4492		2.2039		2.353	
6	2	cannot	602	-10.2338	9.2166	0.95098495	8.8764	0.24129534	8.1276	0.15622663	7.3158	1.42028475	5.4361	2.10472012	5.5373	2.38911915	5.371	2.47951794	5.5839	2.46599388	5.5338	2.48008728
6	3	tell	603	-10.5115	9.3572	0.72797298	8.6063	0.1823101	7.9922	0.08696795	7.2354	0.34839249	5.3382	1.35788918	4.4039	2.2068305	3.8538	2.67034149	3.7908	3.01100445	3.6575	3.15686369
6	4	you	604	-13.9512	4.4588	0.60446262	4.3784	0.16690588	4.2004	0.06427956	4.2157	0.09776878	2.4342	1.00286007	1.0612	2.09349179	0.8966	2.22699642	1.1176	2.10388875	0.8196	2.28428674
6	5	more	605	-12.450999999999999	7.201	0.53850555	6.2011	0.16897249	5.823	0.06120729	6.0649	0.49524927	6.8148	0.82376337	5.4426	0.65203762	5.3039	1.24665451	4.3831	1.61239076	4.8872	1.8463738
7	1	Michael	701	-8.2327	9.428		10.0804		10.6137		9.8748		9.0621		8.5909		8.4096		8.3661		8.2777	
7	2	gave	702	-9.54	9.3682	0.95279694	9.9413	0.24219084	9.0087	0.14054012	8.862	0.11896133	8.7116	0.37314081	7.3982	0.80292177	6.819	1.83220291	6.3299	2.36862373	6.5324	2.50114155
7	3	Adam	703	-7.4911	9.6376	0.73189831	10.3339	0.1836319	10.7624	0.08049726	10.7418	0.06833744	11.2309	0.52631903	11.3782	2.15360689	10.5644	2.59038067	9.6408	2.31903148	9.519	2.31077194
7	4	two	704	-11.4324	8.5046	0.60595798	7.0739	0.16780138	7.1093	0.06469488	6.9041	0.10483456	7.3489	0.2794733	6.655	0.32748604	6.2987	0.57338667	6.4533	0.82799006	6.9139	0.92514896
7	5	pounds	705	-8.215	9.6193	0.53967905	10.186	0.16960859	10.3914	0.06817675	10.0105	0.15555525	9.4649	0.6209321	7.5691	1.15673542	6.9487	1.06450033	8.0539	1.40893173	8.0878	1.57298803
8	1	Roger	801	-6.8967	9.2797		9.9544		11.0975		10.9065		10.7366		10.4123		9.6933		9.9142		9.6795	
8	2	smiled	802	-7.1616	9.5208	0.95203209	10.3248	0.24125767	10.5145	0.14470005	10.5625	0.11916685	10.7692	0.32776594	9.2902	0.60070848	6.3295	1.35130405	5.8377	2.1590085	6.1624	2.36680984
8	3	and	803	-14.5388	4.5526	0.73248482	4.2744	0.18350029	4.6419	0.08075237	4.1452	0.0923667	3.753	0.27219534	3.3959	0.94149208	3.1333	1.18044066	2.7995	1.32230473	2.8091	1.51540089
8	4	sat	804	-8.3968	9.5691	0.60782576	10.1225	0.16906357	10.0675	0.07775974	9.837	0.2680583	9.3893	0.36554384	9.1321	0.49115753	7.2471	0.95052958	5.9503	2.43923378	6.2679	2.8733387
8	5	down	805	-11.0981	9.3272	0.54055977	7.8699	0.16937876	7.4277	0.06614971	7.0545	0.07318115	6.7105	0.20563984	4.6465	0.94639397	3.0223	1.6134181	2.119	1.98101521	1.9869	2.23044467
9	1	Things	901	-11.3017	8.6913		7.6094		7.7126		8.0016		7.4043		7.5747		7.5165		7.7618		7.5404	
9	2	were	902	-12.1975	7.7277	0.95240021	6.4161	0.24144793	6.0515	0.14299393	5.7015	0.14259911	4.5934	0.55807734	4.1726	0.9221077	3.0283	1.76307201	3.0257	1.91279745	2.9985	1.99598455
9	3	looking	903	-10.8029	9.0584	0.73021221	8.1101	0.18290854	7.4145	0.08091831	7.3027	0.20172977	5.5977	0.62593269	5.265	1.03260756	7.2675	1.4224391	7.6167	1.75402117	7.2743	1.87494612
9	4	up	904	-12.2438	7.7901	0.60497189	6.1529	0.16730833	6.3449	0.0638485	5.7228	0.12384701	4.9912	1.05604362	5.5267	2.44744301	5.091	2.44436669	4.3295	2.24588203	3.9574	2.41379642
9	5	again	905	-11.1122	9.2598	0.54015732	7.3705	0.16931772	7.144	0.06609869	7.2489	0.23382807	6.364	0.71732426	5.3405	1.25451469	5.0259	1.15301538	4.8149	1.07566428	4.9946	1.16426826
10	1	This	1001	-13.5166	6.3651		4.9197		3.7705		3.5719		3.7102		3.5086		3.6029		3.6282		3.6115	
10	2	man's	1002																			
